danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.557,0.798,6,-7.405,1,0.0935,0.000851,0.67500000,0.183,0.794,112.187,audio_features,7eheoW4hxrH51ww2QePVwF,spotify:track:7eheoW4hxrH51ww2QePVwF,https://api.spotify.com/v1/tracks/7eheoW4hxrH51ww2QePVwF,https://api.spotify.com/v1/audio-analysis/7eheoW4hxrH51ww2QePVwF,244093,4
0.785,0.931,8,-4.813,1,0.0465,0.0148,0.63700000,0.0459,0.969,135.986,audio_features,73ljrkSg4A0q3ByU0Cu7mw,spotify:track:73ljrkSg4A0q3ByU0Cu7mw,https://api.spotify.com/v1/tracks/73ljrkSg4A0q3ByU0Cu7mw,https://api.spotify.com/v1/audio-analysis/73ljrkSg4A0q3ByU0Cu7mw,222459,4
0.759,0.822,5,-7.268,0,0.0367,0.00136,0.01710000,0.131,0.94,124.713,audio_features,01kVVoJQuWVqaOvRgRztJD,spotify:track:01kVVoJQuWVqaOvRgRztJD,https://api.spotify.com/v1/tracks/01kVVoJQuWVqaOvRgRztJD,https://api.spotify.com/v1/audio-analysis/01kVVoJQuWVqaOvRgRztJD,240933,4
0.885,0.844,10,-9.225,0,0.0733,0.0147,0.00000449,0.0494,0.715,124.602,audio_features,21qnJAMtzC6S5SESuqQLEK,spotify:track:21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/tracks/21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/audio-analysis/21qnJAMtzC6S5SESuqQLEK,320307,4
0.591,0.888,4,-6.836,1,0.0354,0.00223,0.69900000,0.396,0.588,132.885,audio_features,1arJHhz6TxMV50SNvSmGnV,spotify:track:1arJHhz6TxMV50SNvSmGnV,https://api.spotify.com/v1/tracks/1arJHhz6TxMV50SNvSmGnV,https://api.spotify.com/v1/audio-analysis/1arJHhz6TxMV50SNvSmGnV,212133,4
0.728,0.784,11,-11.776,1,0.0379,0.0449,0.09180000,0.0964,0.964,129.981,audio_features,59VRFpPnC8pOhIH2WCWXF9,spotify:track:59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/tracks/59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/audio-analysis/59VRFpPnC8pOhIH2WCWXF9,247406,4
0.793,0.5,6,-13.108,0,0.0319,0.028,0.00001960,0.186,0.833,123.017,audio_features,1EWsVHU4FNAdtN4R8FETag,spotify:track:1EWsVHU4FNAdtN4R8FETag,https://api.spotify.com/v1/tracks/1EWsVHU4FNAdtN4R8FETag,https://api.spotify.com/v1/audio-analysis/1EWsVHU4FNAdtN4R8FETag,243160,4
0.749,0.988,0,-5.266,0,0.0387,0.202,0.00631000,0.17,0.749,135.015,audio_features,74jTexO94dFGyXGyeu8krd,spotify:track:74jTexO94dFGyXGyeu8krd,https://api.spotify.com/v1/tracks/74jTexO94dFGyXGyeu8krd,https://api.spotify.com/v1/audio-analysis/74jTexO94dFGyXGyeu8krd,221187,4
0.734,0.828,10,-11.018,0,0.0318,0.0346,0.11800000,0.071,0.964,127.06,audio_features,37tzoWY1ubBQKGXiWdO5Qv,spotify:track:37tzoWY1ubBQKGXiWdO5Qv,https://api.spotify.com/v1/tracks/37tzoWY1ubBQKGXiWdO5Qv,https://api.spotify.com/v1/audio-analysis/37tzoWY1ubBQKGXiWdO5Qv,272093,4
0.821,0.833,3,-8.291,0,0.0821,0.0734,0.54400000,0.0739,0.961,132.975,audio_features,04zrPERrSO4CfyargthKJ9,spotify:track:04zrPERrSO4CfyargthKJ9,https://api.spotify.com/v1/tracks/04zrPERrSO4CfyargthKJ9,https://api.spotify.com/v1/audio-analysis/04zrPERrSO4CfyargthKJ9,255547,4
